machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
charnwood,262144,262144,64,randomized,1000,TSC_ticks_per_access,1000000,26.796,56.901643922000005,544.3556152978263,26.346,28.262,1.9160000000000004,25.902,35.15,23.938,20647.93,82995,0.082995,4096,10000,2.441,20260904,0,6,capacity_ws262144_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,285824,285824,64,randomized,1000,TSC_ticks_per_access,1000000,33.36,67.806561476,592.2786163836566,32.66,33.934,1.274000000000001,31.898,35.822,25.658,20565.436,52204,0.052204,4466,10000,2.239,20260904,0,6,capacity_ws285824_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,311680,311680,64,randomized,1000,TSC_ticks_per_access,1000000,37.61,76.57998767199996,629.3199270854026,37.0,38.51,1.509999999999998,36.506,39.818,28.72,44420.85,39457,0.039457,4870,10000,2.053,20260904,0,6,capacity_ws311680_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,339904,339904,64,randomized,1000,TSC_ticks_per_access,1000000,38.516,78.52696117599997,636.1506182276304,38.018,39.542,1.524000000000001,37.456,40.704,30.11,23941.852,37618,0.037618,5311,10000,1.883,20260904,0,6,capacity_ws339904_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,370688,370688,64,randomized,1000,TSC_ticks_per_access,1000000,59.644,121.61358539000007,793.009357847284,58.7,60.676,1.975999999999999,56.32,66.378,39.488,20679.416,98925,0.098925,5792,10000,1.727,20260904,0,6,capacity_ws370688_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,370688,370688,64,randomized,1000,TSC_ticks_per_access,1000000,41.666,84.52328507599995,661.093293010923,40.82,42.516,1.695999999999998,40.182,43.956,38.272,27364.39,35257,0.035257,5792,10000,1.727,20260904,0,6,capacity_ws370688_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,524288,524288,64,randomized,1000,TSC_ticks_per_access,1000000,49.968,102.94093771799999,730.1316082852327,49.52,50.532,1.0119999999999933,48.92,59.438,46.036,20651.218,111547,0.111547,8192,10000,1.221,20260904,0,6,capacity_ws524288_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,741440,741440,64,randomized,1000,TSC_ticks_per_access,1000000,83.286,153.26712642400003,889.9623680432795,56.028,84.324,28.296,54.166,91.448,53.03,27488.91,8814,0.008814,11585,11585,1.000,20260904,0,6,capacity_ws741440_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,1048576,1048576,64,randomized,1000,TSC_ticks_per_access,1000000,83.642,168.39614159400003,931.2648057699024,82.746,84.436,1.690000000000012,78.758,88.948,56.352,20701.552,200255,0.200255,16384,16384,1.000,20260904,0,6,capacity_ws1048576_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,1482880,1482880,64,randomized,1000,TSC_ticks_per_access,1000000,86.692,175.3131152599999,949.8315498177224,85.97,87.49,1.519999999999996,81.97,94.242,58.458,20752.596,182560,0.18256,23170,23170,1.000,20260904,0,6,capacity_ws1482880_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,1482880,1482880,64,randomized,1000,TSC_ticks_per_access,1000000,59.588,119.96759948000003,785.1391352214781,59.122,60.01,0.8879999999999981,58.508,60.612,48.996,23951.52,63823,0.063823,23170,23170,1.000,20260904,0,6,capacity_ws1482880_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,1617088,1617088,64,randomized,1000,TSC_ticks_per_access,1000000,59.784,123.18582699200006,796.6850788918479,58.64,60.556,1.9159999999999968,52.928,67.576,40.602,20564.084,155751,0.155751,25267,25267,1.000,20260904,0,6,capacity_ws1617088_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,1763456,1763456,64,randomized,1000,TSC_ticks_per_access,1000000,60.24,121.25982945399998,789.5949359311898,59.638,60.876,1.2379999999999995,57.728,61.512,48.084,20549.978,89448,0.089448,27554,27554,1.000,20260904,0,6,capacity_ws1763456_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,1923008,1923008,64,randomized,1000,TSC_ticks_per_access,1000000,60.674,122.14616836200004,792.1066555617437,60.248,61.152,0.9040000000000035,58.808,61.776,48.472,20571.578,87742,0.087742,30047,30047,1.000,20260904,0,6,capacity_ws1923008_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,2097088,2097088,64,randomized,1000,TSC_ticks_per_access,1000000,60.508,121.86698995800003,791.9190837139672,59.13,61.326,2.195999999999998,58.038,62.04,48.306,20551.93,33017,0.033017,32767,32767,1.000,20260904,0,6,capacity_ws2097088_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,2097152,2097152,64,randomized,1000,TSC_ticks_per_access,1000000,93.922,230.659920904,1092.6294412525685,88.818,102.812,13.994,87.282,259.83009999999985,59.812,20663.48,183218,0.183218,32768,32768,1.000,20260904,0,6,capacity_ws2097152_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,2286912,2286912,64,randomized,1000,TSC_ticks_per_access,1000000,61.448,154.66303319000008,896.5314541526359,60.666,62.062,1.3960000000000008,58.716,203.776,50.164,20772.386,210101,0.210101,35733,35733,1.000,20260904,0,6,capacity_ws2286912_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,2493888,2493888,64,randomized,1000,TSC_ticks_per_access,1000000,61.888,164.15669402399996,922.3092020268202,61.114,62.362,1.2480000000000047,60.576,220.532,50.734,20756.35,202557,0.202557,38967,38967,1.000,20260904,0,6,capacity_ws2493888_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,2719616,2719616,64,randomized,1000,TSC_ticks_per_access,1000000,61.964,138.61319708600004,845.7210475338892,60.902,63.142,2.240000000000002,53.214,131.374,42.84,20564.92,252064,0.252064,42494,42494,1.000,20260904,0,6,capacity_ws2719616_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,2965760,2965760,64,randomized,1000,TSC_ticks_per_access,1000000,119.014,256.431477436,1148.6529002795203,101.49,141.574,40.08400000000002,95.5879,213.33219999999972,61.152,20780.666,62144,0.062144,46340,46340,1.000,20260904,0,6,capacity_ws2965760_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,2965760,2965760,64,randomized,1000,TSC_ticks_per_access,1000000,62.154,125.666809898,805.1536635069787,61.416,62.654,1.2380000000000067,59.516,65.508,50.916,20558.364,113444,0.113444,46340,46340,1.000,20260904,0,6,capacity_ws2965760_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,3234176,3234176,64,randomized,1000,TSC_ticks_per_access,1000000,62.622,126.856295184,807.9730354358402,61.82,63.216,1.3960000000000008,60.678,66.852,49.71,20581.774,97058,0.097058,50534,50534,1.000,20260904,0,6,capacity_ws3234176_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,3526912,3526912,64,randomized,1000,TSC_ticks_per_access,1000000,63.142,129.81779790399997,832.8477195135795,62.412,64.294,1.881999999999998,61.684,69.75,51.564,20693.046,81996,0.081996,55108,55108,1.000,20260904,0,6,capacity_ws3526912_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,3846144,3846144,64,randomized,1000,TSC_ticks_per_access,1000000,63.24,130.50563664599997,819.1624097490392,62.534,64.82,2.2859999999999943,61.808,75.058,51.536,20603.18,107606,0.107606,60096,60096,1.000,20260904,0,6,capacity_ws3846144_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,4194304,4194304,64,randomized,1000,TSC_ticks_per_access,1000000,280.518,557.0446514679999,1677.525419603342,258.22,297.05,38.829999999999984,236.54,320.26,144.076,20839.624,28414,0.028414,65536,65536,1.000,20260904,0,6,capacity_ws4194304_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,4194304,4194304,64,randomized,1000,TSC_ticks_per_access,1000000,68.622,140.72853327800001,851.001705572212,66.414,71.706,5.292000000000002,64.636,81.072,49.566,20606.296,60882,0.060882,65536,65536,1.000,20260904,0,6,capacity_ws4194304_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,5931584,5931584,64,randomized,1000,TSC_ticks_per_access,1000000,302.018,604.8895425339999,1744.2544835585675,290.704,310.054,19.349999999999966,279.196,331.91,216.804,20847.69,35907,0.035907,92681,92681,1.000,20260904,0,6,capacity_ws5931584_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,8388608,8388608,64,randomized,1000,TSC_ticks_per_access,1000000,321.446,647.8084516740001,1802.4630907833434,316.692,326.076,9.384000000000015,309.344,349.712,245.632,20841.42,110599,0.110599,131072,131072,1.000,20260904,0,6,capacity_ws8388608_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,11863232,11863232,64,randomized,1000,TSC_ticks_per_access,1000000,336.786,680.1077716719997,1845.704468508793,334.096,340.024,5.927999999999997,330.248,364.612,264.39,20871.068,126259,0.126259,185363,185363,1.000,20260904,0,6,capacity_ws11863232_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,16777216,16777216,64,randomized,1000,TSC_ticks_per_access,1000000,303.336,612.2912353179998,1753.5240631071213,293.162,308.866,15.704000000000008,287.572,360.76419999999973,255.168,20868.382,95376,0.095376,262144,262144,1.000,20260904,0,6,capacity_ws16777216_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,23726528,23726528,64,randomized,1000,TSC_ticks_per_access,1000000,293.366,593.713189508,1729.1182739264016,289.134,297.23,8.096000000000004,280.974,326.6340999999999,271.258,20871.336,140756,0.140756,370727,370727,1.000,20260904,0,6,capacity_ws23726528_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,33554432,33554432,64,randomized,1000,TSC_ticks_per_access,1000000,298.886,604.991478554,1743.4976709298517,295.63,302.12,6.490000000000009,286.094,335.806,273.254,20856.088,203056,0.203056,524288,524288,1.000,20260904,0,6,capacity_ws33554432_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,47453120,47453120,64,randomized,1000,TSC_ticks_per_access,1000000,371.474,722.3330702520002,1900.5850056803665,330.8935,380.702,49.80849999999998,304.774,411.978,284.55,20984.73,35742,0.035742,741455,741455,1.000,20260904,0,6,capacity_ws47453120_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,67108864,67108864,64,randomized,1000,TSC_ticks_per_access,1000000,379.682,766.0345676519999,1954.012297063598,377.788,382.102,4.3139999999999645,374.596,411.162,290.62,20910.802,166900,0.1669,1048576,1048576,1.000,20260904,0,6,capacity_ws67108864_sp64_rand_charnwood_20260910-161412.csv.gz
